signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
percentage_of_landowners_selling_crops,Percentage of landowners selling crops,22,"""Only 41% of landowners in the study sold any crops.""","(percentage\ of\ landowners\ selling\ crops)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ selling\ crops)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners selling crops' only; remove numeric values; optionally append <percentage_of_landowners_selling_crops>,1
percentage_of_farmers_using_slash_and_burn,Percentage of farmers using slash-and-burn,22,"""Slash-and-burn is used by 16% of farmers.""","(percentage\ of\ farmers\ using\ slash\-and\-burn)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ farmers\ using\ slash\-and\-burn)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of farmers using slash-and-burn' only; remove numeric values; optionally append <percentage_of_farmers_using_slash_and_burn>,1
percentage_of_top_crop_planted_cornmaize,Percentage of top crop planted: corn/maize,22,"""The top three crops planted by respondents were corn/maize (33%).""","(percentage\ of\ top\ crop\ planted:\ corn/maize)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ top\ crop\ planted:\ corn/maize)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of top crop planted: corn/maize' only; remove numeric values; optionally append <percentage_of_top_crop_planted_cornmaize>,1
percentage_of_top_crop_planted_cassava,Percentage of top crop planted: cassava,22,"""cassava (17%)""","(percentage\ of\ top\ crop\ planted:\ cassava)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ top\ crop\ planted:\ cassava)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of top crop planted: cassava' only; remove numeric values; optionally append <percentage_of_top_crop_planted_cassava>,1
percentage_of_top_crop_planted_banana,Percentage of top crop planted: banana,22,"""and banana (11%).""","(percentage\ of\ top\ crop\ planted:\ banana)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ top\ crop\ planted:\ banana)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of top crop planted: banana' only; remove numeric values; optionally append <percentage_of_top_crop_planted_banana>,1
percentage_of_landowners_owning_teak_trees,Percentage of landowners owning teak trees,22,"""some 58% of landowners in Aubeon report owning some teak trees.""","(percentage\ of\ landowners\ owning\ teak\ trees)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (percentage\ of\ landowners\ owning\ teak\ trees)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Percentage of landowners owning teak trees' only; remove numeric values; optionally append <percentage_of_landowners_owning_teak_trees>,1
ethno_linguistic_group_of_respondents,Ethno-linguistic group of respondents,23,The respondents in the household survey were mainly of Tetun-Terik ethno-linguistic group (97%).,"(ethno\-linguistic\ group\ of\ respondents)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ethno\-linguistic\ group\ of\ respondents)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ethno-linguistic group of respondents' only; remove numeric values; optionally append <ethno_linguistic_group_of_respondents>,1
illiteracy_rate_among_respondents,Illiteracy rate among respondents,23,Only 25% of respondents were illiterate.,"(illiteracy\ rate\ among\ respondents)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (illiteracy\ rate\ among\ respondents)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Illiteracy rate among respondents' only; remove numeric values; optionally append <illiteracy_rate_among_respondents>,1
rate_of_respondents_with_formal_education,Rate of respondents with formal education,23,75% have some formal education.,"(rate\ of\ respondents\ with\ formal\ education)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (rate\ of\ respondents\ with\ formal\ education)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Rate of respondents with formal education' only; remove numeric values; optionally append <rate_of_respondents_with_formal_education>,1
rate_of_respondents_with_primary_schooling,Rate of respondents with primary schooling,23,"Of these, 33% had primary schooling.","(rate\ of\ respondents\ with\ primary\ schooling)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (rate\ of\ respondents\ with\ primary\ schooling)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Rate of respondents with primary schooling' only; remove numeric values; optionally append <rate_of_respondents_with_primary_schooling>,1
rate_of_respondents_with_secondary_school_or_higher,Rate of respondents with secondary school or higher,23,28% secondary school or higher.,"(rate\ of\ respondents\ with\ secondary\ school\ or\ higher)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (rate\ of\ respondents\ with\ secondary\ school\ or\ higher)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Rate of respondents with secondary school or higher' only; remove numeric values; optionally append <rate_of_respondents_with_secondary_school_or_higher>,1
distance_from_suai_supply_base_to_natarbora_refinery_site,Distance from Suai Supply Base to Natarbora Refinery site,23,located 125 km southeast of the Natarbora Refinery site.,"(distance\ from\ suai\ supply\ base\ to\ natarbora\ refinery\ site)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ from\ suai\ supply\ base\ to\ natarbora\ refinery\ site)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance from Suai Supply Base to Natarbora Refinery site' only; remove numeric values; optionally append <distance_from_suai_supply_base_to_natarbora_refinery_site>,1
year_of_agreements_with_community_leaders,Year of agreements with community leaders,23,A notable achievement in this process occurred in April 2013.,"(year\ of\ agreements\ with\ community\ leaders)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (year\ of\ agreements\ with\ community\ leaders)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Year of agreements with community leaders' only; remove numeric values; optionally append <year_of_agreements_with_community_leaders>,1
duration_of_stakeholder_engagement_documentation,Duration of stakeholder engagement documentation,23,community disclosure and consultation and overall stakeholder engagement for the South Coast hydrocarbons development date back more than 10 years.,"(duration\ of\ stakeholder\ engagement\ documentation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (duration\ of\ stakeholder\ engagement\ documentation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Duration of stakeholder engagement documentation' only; remove numeric values; optionally append <duration_of_stakeholder_engagement_documentation>,1
project_area_includes_fishing_communities,Project area includes fishing communities,24,The Natarbora Refinery project area includes fishing communities that will require resettlement and livelihood restoration support.,"(project\ area\ includes\ fishing\ communities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ area\ includes\ fishing\ communities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project area includes fishing communities' only; remove numeric values; optionally append <project_area_includes_fishing_communities>,1
stakeholder_engagement_strategy_alignment,Stakeholder engagement strategy alignment,24,The project's stakeholder engagement strategy is designed to align with international infrastructure development standards.,"(stakeholder\ engagement\ strategy\ alignment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ engagement\ strategy\ alignment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder engagement strategy alignment' only; remove numeric values; optionally append <stakeholder_engagement_strategy_alignment>,1
stakeholder_identification_and_mapping_process,Stakeholder identification and mapping process,24,"This process will involve recognizing the diverse range of stakeholders who have an interest in, or will be affected by, the project's activities.","(stakeholder\ identification\ and\ mapping\ process)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ identification\ and\ mapping\ process)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder identification and mapping process' only; remove numeric values; optionally append <stakeholder_identification_and_mapping_process>,1
key_stakeholders,Key stakeholders,24,"Key stakeholders will include local residents, community leaders, governmental bodies, and business entities.","(key\ stakeholders)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (key\ stakeholders)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Key stakeholders' only; remove numeric values; optionally append <key_stakeholders>,1
stakeholder_mapping_steps,Stakeholder mapping steps,24,"The initial stakeholder mapping for this Preliminary ESIA considered the following steps: Listing of potential stakeholders, Grouping of stakeholders, Evaluating stakeholders, Prioritizing stakeholders.","(stakeholder\ mapping\ steps)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ mapping\ steps)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder mapping steps' only; remove numeric values; optionally append <stakeholder_mapping_steps>,1
stakeholder_evaluation_criteria,Stakeholder evaluation criteria,24,"Evaluating stakeholders based on specific criteria (e.g., their level of influence, interest, and potential impact on the project).","(stakeholder\ evaluation\ criteria)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ evaluation\ criteria)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder evaluation criteria' only; remove numeric values; optionally append <stakeholder_evaluation_criteria>,1
stakeholder_prioritization_method,Stakeholder prioritization method,24,Prioritizing stakeholders by position stakeholders on a grid with axes representing their level of power/influence and interest in the project.,"(stakeholder\ prioritization\ method)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ prioritization\ method)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder prioritization method' only; remove numeric values; optionally append <stakeholder_prioritization_method>,1
project_focus,Project focus,25,"In preparing for Natarbora Refinery and Petrochemical Complex development, disclosure of relevant project information will focus on assisting affected local stakeholders...","(project\ focus)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ focus)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project focus' only; remove numeric values; optionally append <project_focus>,2
community_engagement_process,Community engagement process,25,"The extent and degree of engagement will adapt in response to concerns raised by the Affected Communities, in a two-way process...","(community\ engagement\ process)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (community\ engagement\ process)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Community engagement process' only; remove numeric values; optionally append <community_engagement_process>,1
grievance_resolution_mechanism,Grievance Resolution Mechanism,25,"...and the Grievance Resolution Mechanism (GRM, see below).","(grievance\ resolution\ mechanism)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (grievance\ resolution\ mechanism)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Grievance Resolution Mechanism' only; remove numeric values; optionally append <grievance_resolution_mechanism>,1
ngo_involvement,NGO involvement,25,Bega Valley Advocates for Timor-Leste focused on supporting local communities,"(ngo\ involvement)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ngo\ involvement)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NGO involvement' only; remove numeric values; optionally append <ngo_involvement>,1
ngo_focus_on_biodiversity,NGO focus on biodiversity,25,"Konservasaun Flora and Fauna (KFF) focused on supporting Biodiversity ('One Child, One Mangrove')","(ngo\ focus\ on\ biodiversity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ngo\ focus\ on\ biodiversity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NGO focus on biodiversity' only; remove numeric values; optionally append <ngo_focus_on_biodiversity>,1
local_agricultural_organization,Local agricultural organization,25,Local Agricultural Organisation in the village of Uma-Boco Promoting local agricultural production,"(local\ agricultural\ organization)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (local\ agricultural\ organization)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Local agricultural organization' only; remove numeric values; optionally append <local_agricultural_organization>,1
road_project,Road project,25,Road Network Upgrading Sector Project: Manatuto- Laclubar-Natarbora Road Resettlement Plan,"(road\ project)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (road\ project)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Road project' only; remove numeric values; optionally append <road_project>,1
school_involved,School involved,25,Natarbora Agriculture Technical School,"(school\ involved)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (school\ involved)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'School involved' only; remove numeric values; optionally append <school_involved>,1
grievance_redress_mechanism_grm_establishment,Grievance Redress Mechanism (GRM) establishment,26,The Company will establish a Grievance Redress Mechanism (GRM) to receive and facilitate resolution of Affected Communities' concerns and grievances about the Project's environmental and social performance.,"(grievance\ redress\ mechanism\ \(grm\)\ establishment)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (grievance\ redress\ mechanism\ \(grm\)\ establishment)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Grievance Redress Mechanism (GRM) establishment' only; remove numeric values; optionally append <grievance_redress_mechanism_grm_establishment>,1
eiti_compliance_status,EITI compliance status,26,As the first country in the Asia-Pacific region to achieve full EITI compliance,"(eiti\ compliance\ status)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (eiti\ compliance\ status)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'EITI compliance status' only; remove numeric values; optionally append <eiti_compliance_status>,1
reporting_frequency_to_affected_communities,Reporting frequency to Affected Communities,26,"The frequency of these reports will be proportional to the concerns of Affected Communities, but not less than annually.","(reporting\ frequency\ to\ affected\ communities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (reporting\ frequency\ to\ affected\ communities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Reporting frequency to Affected Communities' only; remove numeric values; optionally append <reporting_frequency_to_affected_communities>,1
stakeholder_engagement_process_cost,Stakeholder engagement process cost,26,readily accessible to them at no cost and without retribution to parties who raise issues or concerns.,"(stakeholder\ engagement\ process\ cost)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ engagement\ process\ cost)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder engagement process cost' only; remove numeric values; optionally append <stakeholder_engagement_process_cost>,1
reporting_standards_compliance,Reporting standards compliance,26,"The project demonstrates compliance with international reporting standards, notably as part of Timor-Leste's commitment to the Extractive Industries Transparency Initiative (EITI).","(reporting\ standards\ compliance)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (reporting\ standards\ compliance)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Reporting standards compliance' only; remove numeric values; optionally append <reporting_standards_compliance>,1
issues_of_concern_to_affected_communities,Issues of concern to Affected Communities,26,"These could include recruitment and terms of employment of residents for temporary, short-term, and permanent employment with the Refinery Project. These could also include issues with Project operations affecting the safety or comfort of residents, or environmental impacts impinging on natural resources of importance to the livelihoods of local residents.","(issues\ of\ concern\ to\ affected\ communities)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (issues\ of\ concern\ to\ affected\ communities)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Issues of concern to Affected Communities' only; remove numeric values; optionally append <issues_of_concern_to_affected_communities>,1
nox_emission_limit_for_fccu,NOx emission limit for FCCU,27,"""Guideline Value 300 for FCCU""","(nox\ emission\ limit\ for\ fccu)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nox\ emission\ limit\ for\ fccu)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NOx emission limit for FCCU' only; remove numeric values; optionally append <nox_emission_limit_for_fccu>,1
sox_emission_limit_for_sru,SOx emission limit for SRU,27,"""SOx 150 for SRU""","(sox\ emission\ limit\ for\ sru)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sox\ emission\ limit\ for\ sru)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SOx emission limit for SRU' only; remove numeric values; optionally append <sox_emission_limit_for_sru>,1
sox_emission_limit_for_fccu,SOx emission limit for FCCU,27,"""300 for FCCU""","(sox\ emission\ limit\ for\ fccu)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sox\ emission\ limit\ for\ fccu)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SOx emission limit for FCCU' only; remove numeric values; optionally append <sox_emission_limit_for_fccu>,1
particulates_pm10_emission_limit,Particulates PM10 emission limit,27,"""Particulates PM10 25""","(particulates\ pm10\ emission\ limit)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (particulates\ pm10\ emission\ limit)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Particulates PM10 emission limit' only; remove numeric values; optionally append <particulates_pm10_emission_limit>,1
ozone_o3_emission_limit,Ozone O3 emission limit,27,"""Ozone O3 5""","(ozone\ o3\ emission\ limit)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ozone\ o3\ emission\ limit)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ozone O3 emission limit' only; remove numeric values; optionally append <ozone_o3_emission_limit>,1
h2s_emission_limit,H2S emission limit,27,"""H2S 1""","(h2s\ emission\ limit)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (h2s\ emission\ limit)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'H2S emission limit' only; remove numeric values; optionally append <h2s_emission_limit>,1
vanadium_emission_limit,Vanadium emission limit,27,"""Vanadium 5""","(vanadium\ emission\ limit)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (vanadium\ emission\ limit)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Vanadium emission limit' only; remove numeric values; optionally append <vanadium_emission_limit>,1
no2_ambient_air_quality_standard_1_year,NO2 ambient air quality standard (1-year),27,"""NO2 40 (1-year)""","(no2\ ambient\ air\ quality\ standard\ \(1\-year\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (no2\ ambient\ air\ quality\ standard\ \(1\-year\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NO2 ambient air quality standard (1-year)' only; remove numeric values; optionally append <no2_ambient_air_quality_standard_1_year>,1
no2_ambient_air_quality_standard_1_hour,NO2 ambient air quality standard (1-hour),27,"""NO2 200 (1-hour)""","(no2\ ambient\ air\ quality\ standard\ \(1\-hour\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (no2\ ambient\ air\ quality\ standard\ \(1\-hour\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NO2 ambient air quality standard (1-hour)' only; remove numeric values; optionally append <no2_ambient_air_quality_standard_1_hour>,1
so2_ambient_air_quality_standard_24_hour,SO2 ambient air quality standard (24-hour),27,"""SO2 20 (24-hour)""","(so2\ ambient\ air\ quality\ standard\ \(24\-hour\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (so2\ ambient\ air\ quality\ standard\ \(24\-hour\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SO2 ambient air quality standard (24-hour)' only; remove numeric values; optionally append <so2_ambient_air_quality_standard_24_hour>,1
so2_ambient_air_quality_standard_10_minute,SO2 ambient air quality standard (10-minute),27,"""SO2 500 (10 minute)""","(so2\ ambient\ air\ quality\ standard\ \(10\-minute\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (so2\ ambient\ air\ quality\ standard\ \(10\-minute\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SO2 ambient air quality standard (10-minute)' only; remove numeric values; optionally append <so2_ambient_air_quality_standard_10_minute>,1
particulates_pm10_ambient_air_quality_standard_1_year,Particulates PM10 ambient air quality standard (1-year),27,"""Particulates PM10 20 (1-year)""","(particulates\ pm10\ ambient\ air\ quality\ standard\ \(1\-year\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (particulates\ pm10\ ambient\ air\ quality\ standard\ \(1\-year\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Particulates PM10 ambient air quality standard (1-year)' only; remove numeric values; optionally append <particulates_pm10_ambient_air_quality_standard_1_year>,1
particulates_pm10_ambient_air_quality_standard_24_hour,Particulates PM10 ambient air quality standard (24-hour),27,"""Particulates PM10 50 (24 hour)""","(particulates\ pm10\ ambient\ air\ quality\ standard\ \(24\-hour\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (particulates\ pm10\ ambient\ air\ quality\ standard\ \(24\-hour\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Particulates PM10 ambient air quality standard (24-hour)' only; remove numeric values; optionally append <particulates_pm10_ambient_air_quality_standard_24_hour>,1
ozone_o3_ambient_air_quality_standard_8_hr_daily_max,Ozone O3 ambient air quality standard (8-hr daily max),27,"""Ozone O3 100 (8-hr daily max)""","(ozone\ o3\ ambient\ air\ quality\ standard\ \(8\-hr\ daily\ max\))\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ozone\ o3\ ambient\ air\ quality\ standard\ \(8\-hr\ daily\ max\))\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Ozone O3 ambient air quality standard (8-hr daily max)' only; remove numeric values; optionally append <ozone_o3_ambient_air_quality_standard_8_hr_daily_max>,1
co2_emissions_from_complex,CO2 emissions from complex,28,"""releases of carbon dioxide (CO₂) and methane (CH₄) from the complex, in tonnes of carbon dioxide equivalent (CO 2-Eq ), are estimated at 2.072 million tonnes per year (TPY)""","(co2\ emissions\ from\ complex)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (co2\ emissions\ from\ complex)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'CO2 emissions from complex' only; remove numeric values; optionally append <co2_emissions_from_complex>,1
co2_emissions_from_refinery,CO2 emissions from refinery,28,"""consisting of 300,000 TGY for the refinery""","(co2\ emissions\ from\ refinery)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (co2\ emissions\ from\ refinery)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'CO2 emissions from refinery' only; remove numeric values; optionally append <co2_emissions_from_refinery>,1
co2_emissions_from_petrochemical_complex,CO2 emissions from petrochemical complex,28,"""and 1,772,000 TPY for the petrochemical complex""","(co2\ emissions\ from\ petrochemical\ complex)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (co2\ emissions\ from\ petrochemical\ complex)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'CO2 emissions from petrochemical complex' only; remove numeric values; optionally append <co2_emissions_from_petrochemical_complex>,1
plant_availability,Plant availability,28,"""The financial model assumes non-turnaround year plant availability above 96%""","(plant\ availability)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (plant\ availability)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Plant availability' only; remove numeric values; optionally append <plant_availability>,2
noise_level_standard,Noise level standard,28,"""generally 70 dB(A) Leq (i.e. 70 dB(A) equivalent continuous sound level)""","(noise\ level\ standard)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (noise\ level\ standard)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Noise level standard' only; remove numeric values; optionally append <noise_level_standard>,1
distance_to_new_township,Distance to New township,28,"""New township: 8.5km""","(distance\ to\ new\ township)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (distance\ to\ new\ township)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Distance to New township' only; remove numeric values; optionally append <distance_to_new_township>,1
construction_duration,Construction duration,28,"""construction period, estimated to last 3 years""","(construction\ duration)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (construction\ duration)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Construction duration' only; remove numeric values; optionally append <construction_duration>,1
ghg_emissions_reporting_threshold,GHG emissions reporting threshold,28,"""projects are required to manage and report their greenhouse gas (GHG) emissions if the project emits more than 25,000 metric tons of CO 2 -equivalent per year""","(ghg\ emissions\ reporting\ threshold)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ghg\ emissions\ reporting\ threshold)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'GHG emissions reporting threshold' only; remove numeric values; optionally append <ghg_emissions_reporting_threshold>,1
groundwater_extraction_rate,Groundwater extraction rate,29,The significance of the groundwater extraction rate of 280 liters per second (l/s) as proposed in this Project depends on the capacity and sustainability of the local aquifer system.,"(groundwater\ extraction\ rate)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (groundwater\ extraction\ rate)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Groundwater extraction rate' only; remove numeric values; optionally append <groundwater_extraction_rate>,1
sea_water_requirement_for_cooling_system,Sea water requirement for cooling system,29,"...requiring up to 107,000 cubic meters per hour (m3/hr or TPH) of water.","(sea\ water\ requirement\ for\ cooling\ system)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sea\ water\ requirement\ for\ cooling\ system)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Sea water requirement for cooling system' only; remove numeric values; optionally append <sea_water_requirement_for_cooling_system>,1
